ÀREA DO ANTIGO AEROPORTO
ESCOLA RURAL LUIZ GONZAGA PINTO(INHANDUÍ);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL NOSSA SRA.DA CONCEIÇÃO (CAPIVARI);11/11/1111;CADASTRO IMÓVEIS RURAIS;destivada
ESCOLA RURAL TÁCITO DE SÁ E SILVA(JARAÍ);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
4 imóveis(s) na divisão INHANDUÍ-5º SUBDISTRITO

ITAPORORÓ-2ºSUBDISTRITO
ESCOLA RURAL ANA CLARA DORNELES(MARIANO PINTO);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL EUCLIDES BORGES(RINCÃO DA CHÁCARA);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL MARIA IDELCÍNEA ZACARIAS(MARIANO PINTO);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURL FARROUPILHA(RINCÃO DA CHÁCARA));11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
4 imóveis(s) na divisão ITAPORORÓ-2ºSUBDISTRITO

PASSO NOVO-2º DISTRITO
ESCOLA  ATOS MARÇAL(ITAPEVI);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA ÁLVARO KRUEL(TRANF.P/MANOEL VIANA);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA MACHADO DE ASSIS(PASSO NOVO);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL TEODELFINO BORGES(RINCÃO ALEGRE);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA SALVADOR PINHEIRO MACHADO;11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
5 imóveis(s) na divisão PASSO NOVO-2º DISTRITO

RINCÃ DE SÃO MIGUEL-8º SUBDISTRITO
ESCOLA ABELARDO CARÚS(RINCÃO DE SÃO MIGUEL);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
